,2011
0,5270840169.546036
1,519784.99789687776
2,372369410.62176585
3,35951791.91735084
4,1995553195.2988315
5,6204418297.02326
6,1740191731.402223
7,4013759225.9654183
8,4330407961.277282
9,322108.766502141
10,655813.7690224306
11,4720067395.171672
12,1147579335.3483782
13,1364173488.9456577
14,3915892696.6940436
15,131030631.14094931
16,10406175.160692938
17,16723057.900833493
18,7825.596313970133
19,37549074.24242991
20,4772747011.001125
21,480237742.58488864
22,1694625067.8261805
23,13129701.220448507
24,5440112301.549556
25,34917852710.38459
26,6402002156.710988
27,7407785256.001446
28,10926578552.948263
29,288148955.06947595
30,195183779.53009567
31,1884231208.6008801
32,65102143.90654822
33,200877435.23992243
34,493619061.0785617
35,1304612234.0178297
36,53670061.08220473
37,44644146.01999498
38,3896345374.7246013
39,2467584492.0049415
40,9189.378885673708
41,416610947.41243935
42,538505522.7875875
43,765686922.0727738
44,4620406495.199178
45,396964882.6107186
46,230584771.28711966
47,1217808911.6878054
48,1073162451.3481722
49,361419943.4619108
50,40942203.45685461
51,2710227891.934801
52,1445881363.6525226
53,234422.22607645637
54,2397356978.879162
55,486303900.26491815
56,797330691.4082984
57,12223317.389427237
58,446569341.0888183
59,2104027.5114816623
60,2870063.6191632897
61,806503792.284218
62,5053400.362294927
63,150932315.9770748
64,2713176.405836894
65,1160415.412790068
66,4235638.329899533
67,75673240.8160191
68,100541281.53682074
69,8869594.470507428
70,0.0
71,1048423.4294691375
72,1512520.7789640487
73,190985.10746144957
74,143608836.94284326
75,116436288.55163129
76,2688242.262629949
77,638940.7745488641
78,802724287.5990682
79,205191436.73666602
80,1480656877.451443
81,12341682922.302813
82,1336129384.6148014
83,1161280550.801809
84,653998432.1039677
85,0.0
86,284370334.6130219
87,26634397420.411453
88,294831.8366087299
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76804770.45845942
96,483.48282265257285
97,0.0
98,13326776761.646603
99,3390902157.2587733
100,2588583851.7237463
101,3318189448.6043234
102,2317654760.9161787
103,487588736.6233546
104,8895912960.837418
105,14081036519.910275
106,39792.37854923676
107,2760224530.103144
108,92909201151.23119
109,10224125380.227736
110,10781518690.15517
111,0.0
112,0.0
113,116427292.35176493
114,135035218.87884343
115,76172940.69578281
116,183209512.13963765
117,1053743138.174748
118,9211.550911997401
119,622762150.1530203
120,249808336.47068015
121,122891101.92131203
122,127320383.48012358
123,1981901949.9048638
124,5223605.577274494
125,18264419135.462837
126,4121343743.965195
127,899276017.0894595
128,1644028475.1780019
129,1686040639.3788493
130,5086566532.115711
131,1966320974.7161407
132,117377668.0647859
133,3231239843.6706824
134,28361919298.424686
135,1619819.86383504
136,109107671.58795913
137,10759.327787107923
138,809135041.7853507
139,877517256.4800198
140,7686935331.70398
141,908810957.4004706
142,340739076.19741446
143,288985871.502869
144,277274060.8007213
145,434526648.2249423
146,39233037.386322305
147,2412380.86324166
148,6152957.094112491
149,5231133.59806819
150,1382795.106142129
151,234992774.79311764
152,1770339356.9464664
153,160086578.55215707
154,124263897.82968129
155,13168654.29784688
156,71035032.44363599
157,13900667.332215983
158,263598135.3826179
159,21057488.367128972
160,53814.22353468701
161,94023299.2471955
162,71513829.02847792
163,8491436.549040638
164,18054953.11112643
165,58967846.012786545
166,365950730.52009946
167,316210444.7344565
168,418587222.0802876
169,175390223.68504614
170,120128913.44116026
171,28945569647.126312
172,97709146.14816993
173,168243613.76535964
174,936471.3924602641
175,349008589.20830435
176,101209.49444268344
177,897237823.5083725
178,585305.7215681105
179,50064276.75616273
180,61842505.267266095
181,6214590.105075738
182,133380771.55168934
183,43999084.65596927
184,231504.4401485836
185,365473394.6813073
186,808963254.5607665
187,43848301.982197076
188,65766902.27839435
189,5716.023351559691
190,67560494.60582733
191,55237204.67705617
192,0.0
193,117137931.56528793
194,208283.53135098307
195,70813.45432078338
196,57167824.714176185
197,371868772.193877
198,784837570.2578917
199,304821194.4420514
200,77877680.0996744
201,0.0
202,1345433351.7988439
203,147847846.59833315
204,584382.8313843898
205,1702023.8317857594
206,75015787.80522992
207,7083.743767943118
208,48821545.170109704
209,7232302.595633563
210,543960.2089300733
211,2898926040.929193
212,832738792.359521
213,99069889.18610132
214,62553496.85482952
215,254149819.5008351
216,12153.783538640819
217,1335365362.5124512
218,1950.8570249417378
219,3363.5665266533147
220,18977763885.745678
221,0.0
222,8159743742.101018
223,233775394.99384397
224,552292363.7233372
225,308508223.495273
226,318041859.94746757
227,363271.43842549867
228,151078.0440446223
229,3563.977792297276
230,6885.578597724709
231,3815.267549977621
232,1255.5786944450356
233,34891.65690959325
234,35747988.56800374
235,7165630.297870729
236,1608.8682282059704
237,21200.11186576817
238,827563.2504234507
239,2451.698193815677
240,0.0
241,1566958.4775534524
242,4179431.2421748126
243,135629.86629318265
244,0.0
245,16047246726.152493
246,4936676.977048385
247,2622625.8234468214
248,1576211.0508084581
249,168405.91552088773
250,0.0
251,236381.9582603379
252,173748.09799550078
253,272671.7666586612
254,13814428.873797424
255,275398.89168861863
256,26879030.235084213
257,48764813.17070087
258,11919789.016024439
259,2284521.0032818266
260,8732920.884747887
261,568511512.7753654
262,168040.77332688283
263,397381.5993702573
264,14160135.179842865
