,2007
0,5238403923.242599
1,516079.99654905143
2,371801265.36324865
3,35791796.735319845
4,2000406735.0375888
5,6212734184.739336
6,1735637282.87277
7,4032790184.753615
8,4361813014.255189
9,386463.65215408045
10,745715.1212334493
11,4734944210.396955
12,1064217212.7247194
13,1368112667.5779226
14,3884354019.9690027
15,134187733.21840836
16,10421454.493993014
17,16929672.43330228
18,7825.596313970133
19,37718800.464148
20,4780016700.307562
21,487537867.56528926
22,1661853379.7044406
23,13755354.153753567
24,5465937124.639411
25,35068778381.967415
26,6381400850.629036
27,7359095583.498465
28,10971820106.855997
29,287078642.89507264
30,195343984.90782055
31,1872782124.5344112
32,64247960.00065583
33,201710459.5190675
34,487706553.63942844
35,1308838514.8789048
36,53439407.383494034
37,44671783.47336683
38,3902379563.5998497
39,2486432377.89378
40,9189.378885673708
41,438253326.85154206
42,523227610.0376646
43,781985476.2097213
44,4652230007.158384
45,396752460.93874884
46,232986192.16904607
47,1222373469.556551
48,1082138190.1169782
49,354147554.2870709
50,43337493.6150118
51,2728420604.934324
52,1482270213.323437
53,235879.50912030708
54,2391889152.1761055
55,487983435.0566049
56,781132966.9634005
57,12252977.942025807
58,444116458.67599416
59,2191466.8699684218
60,2908458.191724539
61,822391574.9272456
62,5068890.02542783
63,152194051.9255786
64,2728764.311294319
65,1164266.8532903697
66,4452725.39873983
67,76183267.45883326
68,107162017.85842934
69,8869451.835482068
70,947.5291704446374
71,1112271.44395767
72,1547718.0141090867
73,194525.3036584726
74,145501178.79636422
75,116506646.02101476
76,2729928.793653693
77,650622.6614748021
78,890612955.6627004
79,204936385.13869154
80,1486940968.0004463
81,12653226872.174126
82,1355788645.7639241
83,1162761070.9764266
84,653977540.5217209
85,0.0
86,290897495.27496666
87,26812846986.729553
88,300946.80844480055
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,84879957.87276421
96,483.48282265257285
97,0.0
98,13423135412.313007
99,3391291077.43239
100,2476332711.208374
101,3420303108.2013044
102,2319979172.9334526
103,485108811.2991595
104,8916356913.968367
105,14077744558.075624
106,39792.37854923676
107,2774732481.459074
108,92770344885.57513
109,10221508338.596548
110,10893471212.194973
111,0.0
112,0.0
113,116545826.37605467
114,138340816.12297562
115,76343197.966756
116,184775534.81276914
117,1049885962.9078854
118,14412.448878616777
119,622212091.3382329
120,251553923.7562982
121,144402247.0287493
122,128220503.59326652
123,1988034764.667064
124,5268292.538842683
125,18351922881.372227
126,4178022104.7203465
127,925720705.3312817
128,1760950637.4481583
129,1681706363.5638666
130,5304814069.2034025
131,2043547562.5236135
132,117615395.73521644
133,3278582267.542608
134,29388619360.14914
135,1720231.5455249108
136,109326924.72255397
137,26427.115150044956
138,812226840.7809737
139,877465194.0228106
140,7721978440.665792
141,909772719.0013889
142,343950587.7122445
143,288359900.4182815
144,281901635.4393278
145,433878703.0012161
146,39354229.82813416
147,2478654.5559330606
148,6192449.543457989
149,16748749.016640835
150,1405583.1266708632
151,235370662.45674786
152,1771736199.2587235
153,160251539.14825994
154,124541470.32713905
155,13208567.229088366
156,76868014.09439345
157,14909766.806179157
158,264254513.3658662
159,21149270.271956448
160,58621.08255071856
161,94407073.88302004
162,71620334.30381536
163,8559404.04823638
164,18058947.56270306
165,58883713.5030049
166,366544046.1129507
167,316306743.6844122
168,418076998.77535516
169,175153044.77270165
170,120651897.24332123
171,29499540250.0784
172,98103776.69944331
173,167603243.35505643
174,937582.8366924339
175,361460545.17898333
176,103391.5468308779
177,925485724.0716593
178,599083.6177758557
179,50065152.230029546
180,62586689.45679613
181,6286701.864568213
182,132954488.49703932
183,44290326.732007846
184,234164.87082847813
185,366320528.18229806
186,828696190.180174
187,44498944.40143497
188,66581145.06361744
189,28157.686970040835
190,66953308.30401339
191,55328900.923143625
192,0.0
193,116806704.12776881
194,214705.88145274547
195,70944.20396935596
196,57565127.922609456
197,371802996.9856188
198,786137741.3786694
199,307328137.7112662
200,77576816.80744712
201,231.21176995237755
202,1347246184.4519267
203,147401705.93049803
204,583604.3763407699
205,1706482.748647737
206,74508424.07468778
207,7118.266213458527
208,49079484.94971524
209,7336452.9780992875
210,548457.1945867264
211,2908127333.0618505
212,837316065.5818272
213,100385437.3464429
214,62875343.68470652
215,256742462.9769942
216,12153.783538640819
217,1347980045.9559348
218,1950.8570249417378
219,3363.5665266533147
220,19087569909.559258
221,0.0
222,8228980502.329658
223,232415671.9768545
224,551968550.1136168
225,307129054.49747384
226,318621208.44488114
227,374217.9123673275
228,179870.40015475673
229,10038.990304739646
230,8405.152165236575
231,4569.011451011572
232,1490.6020845941873
233,244730.1906855952
234,35862818.513142735
235,7142028.058147128
236,3172.551065195686
237,21200.11186576817
238,821346.921684532
239,2451.698193815677
240,0.0
241,1567852.4889510947
242,4191706.0633287793
243,210019.89995345252
244,0.0
245,16532675874.14675
246,4950862.314027492
247,2674010.0811232533
248,1588438.9246447156
249,170800.84815603332
250,18.12577788206501
251,246111.8831737502
252,177240.77977030977
253,277300.47778476716
254,13735218.6055585
255,281245.27899995167
256,26906328.853852477
257,48921821.78020145
258,11940424.493808098
259,2285098.966524977
260,8750181.16258525
261,570018440.6863191
262,168745.69077900558
263,397116.21651672287
264,14150917.035241287
