GID,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Mozambique,5319092533.61049,5317284529.08187,5244030438.9123,5286413165.76918,5203222279.41256,5248934495.74879,5238403923.24259,5153203283.67796,5259241369.94061,5131003446.13927,5270840169.54603,5183878195.57839,5186572459.01729,5212874441.57086,5215660691.00021,5240326241.37715,5291443119.78726,5220494039.57464,,
1,Mauritius,510323.502528562,510456.977990768,516794.583000701,516972.761145469,516080.451326945,516570.863521181,516079.996549051,515142.961809338,516081.282000745,517375.046319065,519784.997896877,519963.32156332,520007.398072581,563467.449658534,562351.761331286,564938.105274445,565116.695602713,565339.573937767,,
2,Malawi,369486679.348722,368769190.640694,364084738.151884,371283717.935662,364550358.213913,373220703.01104,371801265.363248,370827179.341281,377019915.174795,365480771.019877,372369410.621765,366550229.79672,371302861.325741,372122289.91014,370964538.59596,370339927.570554,379311978.103018,376592319.127678,,
3,Rwanda,33958722.2340363,35400022.2853305,35597300.7628411,35820086.6858904,35636608.4763509,35776562.1522722,35791796.7353198,35797979.8257534,36041577.329688,35911065.5660944,35951791.9173508,35809153.2502571,35775314.7233568,35577262.1911139,35669020.4354048,36116646.6932838,36219559.8687647,36508102.4509373,,
4,Somalia,2002797541.12204,2001607623.21695,2001011223.67784,2002578978.17872,2001522128.92131,2001199242.63388,2000406735.03758,1998493568.46424,1997749774.03352,1995705850.57608,1995553195.29883,1995745490.05761,1996086158.98237,1997245710.83483,1997153308.0537,2000468321.79044,2000672824.27739,2002978380.58263,,
5,Zambia,6322663135.42518,6292054777.78553,6118931037.17051,6151645958.22909,6085512566.89054,6258561904.61329,6212734184.73933,6159218114.81672,6345289333.52416,6150540246.93335,6204418297.02326,6179981734.94403,6171390650.03477,6197602666.45985,6110494468.30773,6156733848.54266,6208076900.99641,6226894491.56674,,
6,Kenya,1736639230.90012,1737146249.65201,1733244978.84459,1740980963.35281,1738158688.57433,1741414739.66451,1735637282.87277,1736032347.13646,1740005498.2033,1737593824.13698,1740191731.40222,1739410848.22718,1739347843.07398,1739272431.62938,1737449269.39618,1748283261.34953,1751461686.63583,1756511763.04833,,
7,Madagascar,4027026051.64839,4040018035.03543,4032783352.60093,4045031532.07786,4023795441.35755,4035849459.96519,4032790184.75361,4046068228.6781,4032197723.62208,4009406395.81529,4013759225.96541,4011253260.49014,4000204293.5486,4009911657.13032,3997263461.98302,3991228474.04519,4001255756.79668,4002917197.44791,,
8,South Sudan,4926084484.27391,4373047179.92949,4260241200.72315,4314002677.99873,4186213355.2057,4522263984.87598,4361813014.25518,4311267097.19262,4345090615.67818,4462650733.16594,4330407961.27728,4418709780.60401,4422065674.74674,4337745176.65607,4489211972.6949,4299291679.2468,4367012653.95897,4310010248.42898,,
9,Seychelles,384707.611460285,385038.933229165,386463.65215408,386463.65215408,386463.65215408,386463.65215408,386463.65215408,386463.65215408,386463.65215408,324976.019604199,322108.766502141,314264.98997189,322800.754783146,321375.723078912,321375.723078912,321375.723078912,321422.586629397,321375.723078912,,
10,French Southern and Antarctic Lands (Fr.),741394.511001449,744424.744414968,745715.121233449,745715.121233449,745496.191196876,745058.374642159,745715.121233449,744401.584532442,745277.293798854,601186.767302764,655813.76902243,588697.255650418,575539.987063102,598104.785400429,612368.135294687,586844.579336241,608847.450106193,623127.494457753,,
11,Tanzania,4742558387.60079,4796911259.95824,4637401921.35164,4684158872.49569,4603109726.19379,4758511674.4873,4734944210.39695,4731221472.05567,4695058241.46068,4677671997.74025,4720067395.17167,4692116371.46907,4753548464.59336,4790500880.94767,4726348117.57061,4791067423.03537,4825144545.73669,4891057744.97389,,
12,Uganda,1127363241.32678,1101381692.87659,1051483863.80725,1091922573.37845,1017605152.83107,1166906814.20784,1064217212.72471,1090169229.3339,1135376618.34766,1091940167.66932,1147579335.34837,1105938282.4276,1125876854.79564,1135388869.8389,1129570745.23439,1101016215.95303,1122898838.96959,1154542491.02997,,
13,Zimbabwe,1384143555.50557,1387296757.67266,1384524164.15305,1371209037.3533,1372700475.8399,1382700065.91753,1368112667.57792,1363345594.37946,1371182488.47941,1366507695.63475,1364173488.94565,1370506883.90299,1385658292.88952,1385981669.08959,1371207804.86712,1397042870.58668,1402118633.89101,1400149018.96558,,
14,Ethiopia,3899210669.92006,3847391454.84269,3866258787.41029,3877316657.80648,3857808252.2906,3904385421.45805,3884354019.969,3917217921.23785,3914959514.13428,3914467050.26417,3915892696.69404,3906373825.75279,3917998573.13344,3939363526.50549,3919948573.00197,3932389892.35827,3956044847.47615,3973615655.5435,,
15,Eritrea,133447123.928841,133443836.264712,133429091.303213,134061996.414084,134124834.522382,134115201.734698,134187733.218408,134094697.53167,134176175.579246,131079792.060417,131030631.140949,131134107.053083,131263161.431989,131435560.39938,131404190.890363,131329029.374412,131395840.42544,132237357.856219,,
16,Djibouti,10416287.707131,10404311.3270526,10404888.4650416,10416940.6689165,10417551.1977376,10421300.0281482,10421454.493993,10423948.3833782,10426830.5286161,10407212.2410406,10406175.1606929,10405244.1539029,10404245.6857244,10406022.8696537,10405407.7809771,10410334.2727876,10415370.7551048,10474833.8881276,,
17,Comoros,16770485.1503439,16910173.0467825,16964378.7532897,17018656.9829753,16493601.5277531,16917749.995546,16929672.4333022,16864116.8277255,16937296.5006192,16756165.6545933,16723057.9008334,16683821.0497276,16638895.5448673,16535112.9093164,16496197.9541138,16423264.4523873,16487006.0642506,16376463.4623675,,
18,British Indian Ocean Territory (U.K.),7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,7825.59631397013,,
19,Burundi,37183342.1403134,37172025.8323894,37421313.3191247,37658144.1875809,37633121.192154,37506798.6809113,37718800.464148,37611700.8854849,37709896.3642205,37510190.7753378,37549074.2424299,37418211.0267939,37300066.7283131,37306478.7024144,37351951.499529,37463396.8695975,37774981.160938,37735548.9046903,,
