,2020
0,2685303635.7740326
1,10133119.952864474
2,336594002.3156585
3,166822532.18493536
4,1931867063.9581106
5,2583518428.094471
6,2111732632.4673493
7,2926582443.0325103
8,2258103529.158198
9,2050195.8362402334
10,7552.310052928709
11,3345720926.5682106
12,1238109191.459047
13,1218505524.0432897
14,5600132425.785857
15,359746553.61943114
16,43328543.95025226
17,11073080.138075532
18,0.0
19,155418365.75715065
20,1358323245.9260395
21,147989330.719407
22,2798721929.306293
23,6255737.878514594
24,1650759524.9305415
25,10315978231.601456
26,2168541186.057601
27,2503940084.363754
28,3718445643.6101627
29,1034810815.8729637
30,3005648211.3202267
31,3793996250.650125
32,348221608.3930486
33,1898026923.763222
34,4245627659.7949023
35,1476346472.9013124
36,83990279.1423305
37,171155010.48513877
38,3816314435.538747
39,1127259016.246658
40,1831673.264179176
41,190260699.660583
42,379993938.47182834
43,454242242.24813455
44,2618528198.5146484
45,2260663827.405362
46,1821142594.9799285
47,2568352023.3143463
48,462153065.65323794
49,122864861.77543077
50,27819683.12268417
51,1180140060.8674266
52,836183775.9174843
53,10577599.520602772
54,1204054233.6524112
55,739342449.7345842
56,332849841.3193751
57,5471621.270842566
58,307554407.01241624
59,1476209.85887531
60,2233145.311688354
61,666304390.2825555
62,2116696.1469853492
63,75427964.083459
64,1540224.0712535218
65,622850.6561347357
66,2623037.1899312004
67,30990368.656264212
68,61492554.86629563
69,4057919.7899853736
70,19158.550542244557
71,542461.7703471014
72,2037217.5659332746
73,381571.0251449926
74,164795195.62834343
75,53359031.959012896
76,1509934.8652087122
77,500307.3245075431
78,446449289.8296014
79,124091305.26042481
80,714053136.3058732
81,8139299440.891176
82,735611521.3347471
83,707220108.6933911
84,339383763.24827904
85,0.0
86,137979629.121414
87,45637504966.568634
88,1381940.6000139962
89,0.0
90,15150.312914429374
91,0.0
92,0.0
93,0.0
94,0.0
95,2135391239.9467967
96,0.0
97,0.0
98,6928295303.536662
99,1053159334.1327643
100,1714326361.2014627
101,1691591392.7820647
102,665291079.5114123
103,1106446664.2925155
104,4658423770.595155
105,7161629277.057759
106,6576122.536167614
107,4921934971.02455
108,37534953225.275635
109,4926976915.28094
110,11654060644.937672
111,0.0
112,0.0
113,1266227088.8125806
114,1242372077.050154
115,644280984.4473449
116,1015093887.5194472
117,11155942137.208994
118,24976.07289751666
119,6274020255.632251
120,254806526.9899209
121,495287300.6890439
122,712889620.7682465
123,2781504217.4915175
124,3931892.6833660225
125,42300016274.443855
126,3887151992.826771
127,890199666.9835889
128,1860188465.651367
129,1279466162.2249236
130,1981323666.1329827
131,2449734616.7160964
132,36345261.298923895
133,1788499915.130118
134,11605602403.183569
135,1431243.34822298
136,84665471.91753069
137,0.0
138,742273248.539542
139,2051042146.703447
140,11362704201.480167
141,4151021517.7650805
142,372652043.2544509
143,236461767.52426174
144,555287954.3540505
145,2104595066.7349963
146,560964953.1481612
147,27002044.34503538
148,19407156.811564848
149,43487671.67177066
150,13349538.383646486
151,3058139980.434107
152,3864209239.7641125
153,1007751776.14945
154,1019929980.083461
155,173584416.43224764
156,422053965.90649724
157,55010713.16503419
158,492210149.1805539
159,32202596.923054647
160,591582.4917586246
161,447261672.55715466
162,158101345.8390536
163,96466974.43635352
164,188930659.81083423
165,423478281.2030567
166,1305825604.1640894
167,1094670668.27053
168,3335557348.560397
169,989444447.0784106
170,398591960.6389862
171,118174898093.1197
172,271639186.8544307
173,503507809.0323919
174,4651004.371996813
175,2512431544.3862104
176,341710.2534466246
177,3210107966.181676
178,11203693.129145574
179,330650398.0581983
180,417307479.9508244
181,195336446.47658515
182,604252216.553839
183,941863768.1904564
184,624055.3990836531
185,1851198935.156136
186,2392348248.6385474
187,354774702.15633327
188,226437643.95241988
189,6006348.169383581
190,120751431.3053549
191,110556442.24178259
192,0.0
193,350805278.9833636
194,900863.5279156489
195,244755.90804303525
196,163923301.79417136
197,595764461.949097
198,1591687648.5081592
199,419854686.8375698
200,395098345.99941725
201,10094.922512959882
202,2258387260.465081
203,367171031.4782124
204,16077890.819110865
205,3492215.9943445213
206,174977503.43713912
207,35756.52554641345
208,201904726.61057636
209,15370671.998825641
210,1166056.1866663184
211,3492025222.5353184
212,1945200742.4892266
213,300120694.64422745
214,158834939.21754807
215,584467953.7309724
216,214781.18936177506
217,2745982890.4259076
218,0.0
219,0.0
220,22851334684.528526
221,0.0
222,3503745624.2516794
223,81747449.3495316
224,186434078.80928412
225,120841525.58984195
226,108170842.55267105
227,2911778.609972242
228,2112971.4123252644
229,62199.24339408293
230,100214.27340872874
231,2167430.707108049
232,4163089.990819357
233,2881391.502651603
234,20551181.873343077
235,3269493.541331638
236,949694.6917438895
237,286579.83210560575
238,295516.38987355714
239,49261.79391475226
240,9923.28495187464
241,978505.0307700577
242,1546204.2449685761
243,15334687.337502336
244,0.0
245,55542947459.201164
246,2484973.635690801
247,1387252.5517712694
248,849224.5699572647
249,112472.27949470989
250,80995.96781743136
251,168635.81472877832
252,72791.43229724368
253,195494.63670494728
254,65218842.16781476
255,851888.0669284442
256,349092269.2525414
257,30439780.925121505
258,87049549.7725701
259,16852589.000415303
260,99329949.0613814
261,423321348.0798126
262,297363.7693195245
263,1056823.620393198
264,38972307.53003172
