,2014
0,5212874441.570862
1,563467.4496585345
2,372122289.9101408
3,35577262.1911139
4,1997245710.834839
5,6197602666.459854
6,1739272431.629387
7,4009911657.130329
8,4337745176.656075
9,321375.7230789127
10,598104.7854004293
11,4790500880.947676
12,1135388869.838906
13,1385981669.0895963
14,3939363526.5054936
15,131435560.39938077
16,10406022.869653719
17,16535112.909316495
18,7825.596313970133
19,37306478.702414416
20,4775203157.498299
21,482356185.9328639
22,1708392822.4563217
23,12451428.594864687
24,5473321504.11182
25,34947809979.121
26,6446498742.229468
27,7689243108.204371
28,11066219204.872263
29,288260875.48281807
30,195160132.70951012
31,1901802835.7450683
32,65068159.45362462
33,200616935.37364835
34,493358958.9987008
35,1315641642.6448205
36,53654985.31518296
37,44569250.073687114
38,3887082550.087832
39,2486594495.879799
40,9189.378885673708
41,441436489.1020851
42,540559146.232121
43,763068335.9836222
44,4602228750.784255
45,397603782.8634875
46,230797719.90932825
47,1220359670.8783042
48,1067663171.1313103
49,352016093.1286382
50,42601161.512454696
51,2709779780.5700083
52,1497148173.7581463
53,234093.7904898052
54,2466049437.7394323
55,490822023.2997395
56,816583284.4867779
57,12185747.896437634
58,445137863.5581589
59,2051438.435560177
60,2689098.4930184833
61,809784473.7960681
62,5054230.774806216
63,149068447.51018253
64,2650181.7196172597
65,1160743.6937650535
66,4294690.71084102
67,75503305.46573676
68,102615502.1417344
69,8857263.442450022
70,0.0
71,1012858.0566494459
72,1498153.8647105957
73,190930.08540715027
74,141705010.50526804
75,115306605.08121009
76,2627889.336683388
77,598463.556302838
78,793042268.0103147
79,205172105.89170265
80,1479559421.153343
81,12414745338.486345
82,1338251380.0740702
83,1162177040.5004401
84,664878731.4252228
85,0.0
86,288276931.8042733
87,26581349773.18301
88,295391.5694870964
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76850216.21552551
96,483.48282265257285
97,0.0
98,13344761053.8651
99,3392436543.88277
100,2364042956.1913095
101,3290439043.618044
102,2319673911.130831
103,491697972.5861808
104,8903925747.914877
105,14097783261.407026
106,39792.37854923676
107,2773300003.052822
108,92919719890.15567
109,10283870063.793922
110,10777015819.860891
111,0.0
112,0.0
113,116493233.2365323
114,135891490.0988301
115,76085814.44761695
116,182078484.22585917
117,1056475159.6501786
118,14345.585250795506
119,618060759.5364182
120,247336023.92045423
121,121767946.87941922
122,126665662.59009883
123,1978891761.772953
124,5216145.387193822
125,18238620030.886158
126,4096871314.248511
127,904869361.2701477
128,1645240640.7507443
129,1678891928.6495547
130,5061394873.490366
131,1965448365.0956078
132,117414873.25682035
133,3277784656.2220664
134,28445762186.101955
135,1582170.1880700828
136,109094703.50978744
137,10996.687178967388
138,801994124.6287396
139,876510114.7035973
140,7677222135.957136
141,910360159.1560956
142,341393415.49617505
143,288831731.266961
144,279347072.9210161
145,434409435.1967327
146,39199427.95700591
147,2402716.3794316016
148,6092611.6894723205
149,5220754.003273435
150,1378945.5442946646
151,235251053.90652537
152,1766312937.2030873
153,160055193.18639418
154,124287654.04836594
155,13130719.87557512
156,70865807.3606929
157,13799113.358032642
158,262433736.80103824
159,21013377.25026683
160,53805.4835088592
161,93887337.02750145
162,71373644.90984575
163,8500743.633346796
164,18035817.57779163
165,58980127.486120924
166,366466056.23188853
167,313971564.4051395
168,418186533.6521915
169,175275650.91050842
170,119852602.02813525
171,29122553399.144264
172,97262905.75446156
173,168283395.0237108
174,935813.9960380369
175,357698347.1789608
176,101694.38867896357
177,920703791.9494884
178,596356.9995967873
179,50297514.57985544
180,62001964.18616927
181,6214590.105075738
182,133556233.8781429
183,43746481.207525894
184,231535.0295617194
185,365468280.45388234
186,823316590.1378573
187,43796018.05304848
188,65752852.718701646
189,5707.782148993019
190,67625473.32002553
191,55178458.72892687
192,0.0
193,117345800.79567136
194,209943.8506478238
195,69884.26131966688
196,56466514.0594446
197,371254097.40897727
198,783864609.2682829
199,302438436.9888885
200,77802659.83539377
201,0.0
202,1341687978.3605423
203,148205291.3595704
204,583893.669688437
205,1693842.7382247671
206,74983817.91519794
207,7083.743767943118
208,48747578.153972544
209,7217827.880892954
210,531038.5053313067
211,2897111516.9091506
212,834098135.1586995
213,98432827.60863245
214,62581796.18332938
215,254420238.47030914
216,12153.783538640819
217,1328452815.8598146
218,1950.8570249417378
219,3363.5665266533147
220,18975627232.696697
221,0.0
222,8213552118.600045
223,234337106.61136118
224,550077044.5669332
225,307499328.5431978
226,314934774.40202075
227,363447.6901092767
228,154125.16243411924
229,3001.8541192492044
230,6838.092302058778
231,4380.371800609478
232,1255.5786944450356
233,39290.30185679541
234,35697903.064785525
235,7194727.084691033
236,1474.8276927955128
237,21200.11186576817
238,815131.3700006615
239,2026.3428163729145
240,0.0
241,1535868.1799773076
242,4197636.600983171
243,150588.03353759917
244,0.0
245,16373204949.545685
246,4732506.708694721
247,2584637.1959514013
248,1570061.7966639902
249,167099.8673855572
250,0.0
251,211017.7754219421
252,162744.32071115202
253,258713.0609815711
254,13828788.156676296
255,274230.210543471
256,26878150.112445477
257,49163434.51094842
258,11936147.833001047
259,2284190.799044158
260,8750507.721743047
261,567766624.2315499
262,167214.32448905846
263,397109.11422434205
264,14157746.301166983
